,Days_Shifted,Correlation_Coefficient
905,305,-0.36583233442780805
910,310,-0.3658268914388592
909,309,-0.36582458775840887
908,308,-0.3658217784893172
902,302,-0.3657853695991198
1057,457,-0.3657592810153751
901,301,-0.3656896311250338
900,300,-0.36561583755040705
899,299,-0.3655038329016755
1058,458,-0.3654818896341826
898,298,-0.36539418229320325
897,297,-0.3652731215952772
1059,459,-0.365178675630463
896,296,-0.36510736600989463
895,295,-0.3649251846663673
1060,460,-0.3648584611255467
894,294,-0.36482011019383237
893,293,-0.36463371290833024
1061,461,-0.36454341006673957
892,292,-0.3644080789433385
1062,462,-0.3641759050136133
891,291,-0.3641003424230817
890,290,-0.36375881719160813
1063,463,-0.36373783536695914
1064,464,-0.36339648211332776
889,289,-0.3633491649482723
1065,465,-0.3630593123239051
888,288,-0.3629810177526948
1066,466,-0.36272713183965527
887,287,-0.3626622879323797
886,286,-0.3623890553003514
1067,467,-0.3623614923942768
885,285,-0.3621753719812493
1068,468,-0.3619135423111341
884,284,-0.3618961775558709
883,283,-0.3616502626096649
1069,469,-0.36142955460539683
882,282,-0.3613273959795925
881,281,-0.3610628466197768
1070,470,-0.36097750051074656
880,280,-0.36069094148007047
1071,471,-0.3605547342776262
879,279,-0.36030757079350834
1072,472,-0.3601802424283062
878,278,-0.35985212803471456
1073,473,-0.35973658017263
877,277,-0.35943721546307683
1074,474,-0.3593095214054711
876,276,-0.358991288281908
1075,475,-0.3588137859683823
875,275,-0.3586070323554398
1076,476,-0.3583383244548984
874,274,-0.35824958342629265
873,273,-0.3578956376116358
1077,477,-0.35788609573841346
872,272,-0.3575356765368571
1078,478,-0.3573909364872198
871,271,-0.3572105825184436
870,270,-0.3568545478316891
1079,479,-0.35685223932257815
869,269,-0.3565388480990167
1080,480,-0.35636628274581783
868,268,-0.35620715697076527
867,267,-0.3558640374056302
1081,481,-0.35581432617837694
866,266,-0.3555507144433946
1082,482,-0.35534388060752986
865,265,-0.3552438446146494
864,264,-0.3549059576550843
1083,483,-0.354791170288277
863,263,-0.354455557345316
1084,484,-0.35427671441311215
862,262,-0.3539729328534428
1085,485,-0.3538463578889782
861,261,-0.3535661492542768
1086,486,-0.3534035037266321
860,260,-0.3531507941365806
1087,487,-0.3529281202471263
859,259,-0.3527479914471588
1088,488,-0.35246596579755857
858,258,-0.35236415518579023
1089,489,-0.3520211823170477
857,257,-0.35199338115291284
1090,490,-0.3516191459289972
856,256,-0.35158704707572425
1091,491,-0.35122338245278323
