,Days_Shifted,Correlation_Coefficient
999,399,-0.4357206327510135
998,398,-0.4357014837830768
997,397,-0.435587511396852
1000,400,-0.4355736618553997
996,396,-0.43545204064109383
995,395,-0.4352704630324654
1001,401,-0.43525212490124515
994,394,-0.43506540753182865
1002,402,-0.43487121206370893
993,393,-0.4348016968488025
992,392,-0.4345488663109472
1003,403,-0.43452987378310853
991,391,-0.4343291398573263
1004,404,-0.43429599412310493
1010,410,-0.43415864691047157
1009,409,-0.43415719951397896
1011,411,-0.43413531876797057
1005,405,-0.4340738308832655
1008,408,-0.4340603544042772
990,390,-0.43401948709281984
1012,412,-0.4340054178011947
1006,406,-0.4339977547923725
1007,407,-0.4339806472609702
1013,413,-0.4337867073434289
1014,414,-0.4337178686551903
989,389,-0.4336327939033295
1015,415,-0.43357499196719945
1016,416,-0.43346066192563926
1017,417,-0.43328957001065704
988,388,-0.43321922770946747
1018,418,-0.43300932072614656
987,387,-0.43276666778697703
1019,419,-0.4327492643144533
1020,420,-0.4326065863737533
1021,421,-0.4324461242098475
1022,422,-0.4323959548321335
1023,423,-0.4323749761108846
1028,428,-0.43230024352255714
1024,424,-0.4322572089244736
986,386,-0.43224272058811
1027,427,-0.4322419682603285
1026,426,-0.432231095126134
1029,429,-0.4322255926698395
1025,425,-0.43217778497088755
1030,430,-0.4320358014819042
1031,431,-0.43187507983931284
985,385,-0.43179369055879235
1032,432,-0.43174102861911856
1033,433,-0.43149542042364103
984,384,-0.43128910612698046
1034,434,-0.43128064055725657
1035,435,-0.43116569963607576
1036,436,-0.43108245470410106
1037,437,-0.4310131310161066
1038,438,-0.4309530259234708
983,383,-0.4308550242935215
1039,439,-0.4307528727361684
982,382,-0.43051588911816574
1040,440,-0.4303884171186982
981,381,-0.4301865272325317
1041,441,-0.430036534574844
980,380,-0.429738412793919
1042,442,-0.429693952814118
1043,443,-0.42946559609340373
1044,444,-0.4292325600978283
979,379,-0.42920332206704115
1045,445,-0.42903346883029136
1046,446,-0.42884847611895605
1047,447,-0.4287465772146706
978,378,-0.42874437249007613
1048,448,-0.4285987409416783
1049,449,-0.4284298579270583
1050,450,-0.428289804951036
1051,451,-0.4281679267906712
977,377,-0.42814165723706255
1052,452,-0.4278846573175669
1053,453,-0.4276170048374139
976,376,-0.42747733008825356
1054,454,-0.427401050366234
1055,455,-0.42695276829691237
975,375,-0.42688901515382105
1056,456,-0.42640495563486763
974,374,-0.4262863421548556
1057,457,-0.4258570098658129
973,373,-0.42573288856534514
1058,458,-0.42528378299259323
972,372,-0.42524511399627885
971,371,-0.4247758615040373
1059,459,-0.42473050259946993
970,370,-0.4242334134526812
1060,460,-0.4240962204316561
969,369,-0.4236255045681745
1061,461,-0.4235026061704366
968,368,-0.42312544332126567
1062,462,-0.422817353372038
967,367,-0.42248341594379996
1063,463,-0.422083625403314
966,366,-0.4217414025478931
1064,464,-0.4214823283796337
965,365,-0.42103549596303264
1065,465,-0.42088743929382316
1066,466,-0.4203029326320475
964,364,-0.4202716703400225
1067,467,-0.4196598045633169
963,363,-0.41950521649113975
1068,468,-0.4189233142527642
962,362,-0.41867231847897934
1069,469,-0.41819847859694503
961,361,-0.4177818541291272
1070,470,-0.4175194189466282
1071,471,-0.4167714567597645
960,360,-0.41673035729689556
1072,472,-0.41614402810397055
959,359,-0.41570303333058756
1073,473,-0.4154433894994786
1074,474,-0.4147888628641932
958,358,-0.4146063858653751
1075,475,-0.41404005856365333
957,357,-0.4133403727897771
1076,476,-0.4133197771551395
1077,477,-0.4126371390069302
956,356,-0.4122111214227476
1078,478,-0.4118931279672732
1079,479,-0.411092122908938
955,355,-0.4110223123830869
1080,480,-0.4103676137872366
954,354,-0.409842139791409
1081,481,-0.40954385542011734
1082,482,-0.40885834631379875
953,353,-0.4086575587999213
1083,483,-0.408120115902824
952,352,-0.4075161850454636
1084,484,-0.4074135443855138
1085,485,-0.40674711216834675
951,351,-0.4064146926795477
1086,486,-0.40598449411492116
950,350,-0.40537379219685193
1087,487,-0.40522016704970587
1088,488,-0.4044488066960862
949,349,-0.40435906027271845
1089,489,-0.4036396004194107
948,348,-0.4032408581922073
1090,490,-0.4028298628892053
947,347,-0.40219861811023927
1091,491,-0.4020684097630568
1092,492,-0.40130863050661303
946,346,-0.4013068353066245
1093,493,-0.40056452036229884
945,345,-0.4005491377668431
1094,494,-0.39988192828176433
944,344,-0.39975301884132447
1095,495,-0.3992864209712169
943,343,-0.39906976138877664
1096,496,-0.39864572480873034
942,342,-0.3982773137128775
1097,497,-0.3979371866351772
941,341,-0.39743341587867925
1098,498,-0.3971358875586552
940,340,-0.39650930198851697
1099,499,-0.39627534531758823
1100,500,-0.39549822870984713
939,339,-0.39549148583051247
1101,501,-0.39469835358551114
938,338,-0.39446767588544235
1102,502,-0.3938549491005865
937,337,-0.3935257551993707
1103,503,-0.3931042327435017
936,336,-0.3927413665072443
1104,504,-0.392372773039112
935,335,-0.3919926581382434
1105,505,-0.3917043193921834
934,334,-0.3911709619148303
1106,506,-0.3910607869352089
933,333,-0.3905094243648183
1107,507,-0.3903034272226915
932,332,-0.38988293849908173
1108,508,-0.38960800649185345
931,331,-0.3891592062461771
1109,509,-0.38885678379674427
930,330,-0.38848980858575966
1110,510,-0.3882850681981215
929,329,-0.38786901498023524
1111,511,-0.387654944284
928,328,-0.38725470073114004
1112,512,-0.38689487075582757
927,327,-0.3866666841707118
926,326,-0.3860518945374177
1113,513,-0.386010087033268
925,325,-0.38543503516115196
1114,514,-0.38514413826613253
924,324,-0.38493719308778496
923,323,-0.38441883135696053
1115,515,-0.3844017119442488
922,322,-0.38407215382169924
921,321,-0.38370118985508656
