,Days_Shifted,Correlation_Coefficient
884,284,-0.21638464456207096
549,-51,-0.21489432786607265
614,14,-0.21422390169474523
70,-530,-0.21054986318654478
974,374,-0.20697924409272764
53,-547,-0.2065692715768361
262,-338,-0.20628865201873214
883,283,-0.20257277783675737
68,-532,-0.20150829569588372
615,15,-0.2009994056428617
188,-412,-0.1984806224103558
548,-52,-0.1939176251767948
1172,572,-0.19388911400425526
52,-548,-0.19282481318452926
616,16,-0.18590605959504325
882,282,-0.185383638604526
47,-553,-0.18514790432499767
187,-413,-0.1825536285258395
975,375,-0.1801128710739832
547,-53,-0.17550719669976478
263,-337,-0.17325061734784064
617,17,-0.17028652990777726
69,-531,-0.16913840423496887
48,-552,-0.16790582185008973
881,281,-0.16788937134000215
186,-414,-0.1669559569887627
1191,591,-0.1622750263041665
546,-54,-0.1606890216708143
1114,514,-0.15978428003891554
618,18,-0.15355968984213816
264,-336,-0.15113827053364476
545,-55,-0.14730671502770107
1140,540,-0.14695870969252137
880,280,-0.14578557027052966
51,-549,-0.1455502108668737
976,376,-0.14407779469579396
185,-415,-0.14291948519880926
46,-554,-0.14197855321945474
619,19,-0.13665842596670214
544,-56,-0.13333157878623425
265,-335,-0.1309570038365711
1197,597,-0.13002337802119363
879,279,-0.12699564988009412
620,20,-0.12011293647227282
543,-57,-0.11679108806825818
184,-416,-0.11642299449413043
977,377,-0.11623209790124032
266,-334,-0.11483383200331493
50,-550,-0.11321454209918252
878,278,-0.1126195111126676
49,-551,-0.11248322567793002
377,-223,-0.11055421320557172
1169,569,-0.10875630494416391
376,-224,-0.10700338710429512
621,21,-0.10379620938396783
370,-230,-0.10286046428784626
877,277,-0.1022113890763939
375,-225,-0.10216628588695877
542,-58,-0.10110085489452414
267,-333,-0.10097899127489458
372,-228,-0.10082036861737102
371,-229,-0.10039897171963404
374,-226,-0.09944359042101182
378,-222,-0.09904445009854365
373,-227,-0.09725011662500245
369,-231,-0.0971067383033585
1171,571,-0.09450570885823005
1168,568,-0.0933503252330844
876,276,-0.09297358586311462
978,378,-0.09273107723190313
622,22,-0.09174678057558593
541,-59,-0.09095227186189106
1113,513,-0.09078087447059074
875,275,-0.08868416885674305
390,-210,-0.08805696017655507
183,-417,-0.08769738450708245
379,-221,-0.08735082967730193
389,-211,-0.08633637335965626
368,-232,-0.0850720090923928
388,-212,-0.08468974229616369
387,-213,-0.08383661786349936
1170,570,-0.08318807356006279
874,274,-0.08130357226429569
391,-209,-0.08014860444349496
268,-332,-0.07928255711193874
623,23,-0.07897693375932166
392,-208,-0.07714857352692499
540,-60,-0.07683019741175907
386,-214,-0.07681618802695443
393,-207,-0.07598551064654528
380,-220,-0.07548865949916246
82,-518,-0.0727563999648644
873,273,-0.07049007760461387
394,-206,-0.06894392062030044
381,-219,-0.06890625743405503
624,24,-0.06797741334447768
385,-215,-0.06646755841498123
382,-218,-0.06623339468949571
1141,541,-0.06570580764476854
384,-216,-0.06480627352898173
367,-233,-0.06348027663238659
539,-61,-0.06327815503935894
979,379,-0.06314441128526427
383,-217,-0.0625975778497922
625,25,-0.0587291993719583
872,272,-0.05779390396560741
395,-205,-0.054966339148306696
269,-331,-0.05348215517509772
182,-418,-0.05243443115004762
538,-62,-0.05108089275513627
626,26,-0.049261505335932265
366,-234,-0.048508013066162294
871,271,-0.04439672637983717
45,-555,-0.039264845681331324
627,27,-0.038887317071924186
537,-63,-0.03624377766268333
980,380,-0.036212882254909165
1112,512,-0.03557061508748954
365,-235,-0.034641833202434205
1167,567,-0.03396734542274445
396,-204,-0.03240762139656661
628,28,-0.03081138133150877
870,270,-0.029514355369708114
181,-419,-0.028617576188238243
536,-64,-0.02792473624498952
270,-330,-0.02556756302856477
535,-65,-0.025170043524394715
5,-595,-0.023687070872368154
364,-236,-0.022903314476256324
534,-66,-0.020618474055494874
629,29,-0.019089301370836618
397,-203,-0.01842149562495055
533,-67,-0.015946182929374986
981,381,-0.015828936083295064
398,-202,-0.013283874961197003
363,-237,-0.013267116291115096
869,269,-0.011095954289881107
532,-68,-0.008696081812553774
362,-238,-0.008100061661139295
399,-201,-0.006675229771775002
630,30,-0.005250298467626408
531,-69,-0.0041582338537945775
83,-517,-0.0008803148203978722
400,-200,-0.0007365895594273048
530,-70,0.0014647730581559334
982,382,0.002234029056209
361,-239,0.0031863863693219986
180,-420,0.00346455904011485
17,-583,0.004758771321455991
529,-71,0.005590755473813753
868,268,0.006274378802050374
631,31,0.007641738959134622
401,-199,0.007937724957354704
1111,511,0.011009865793880018
360,-240,0.011502681524806876
271,-329,0.012355055988073719
528,-72,0.013624255354496158
829,229,0.014419926313061004
830,230,0.01466058122332272
359,-241,0.016768501524531777
527,-73,0.017294719435443584
828,228,0.018688743445354226
867,267,0.02007941484599125
831,231,0.020117531977262147
632,32,0.022346342262482985
526,-74,0.022584383405084507
983,383,0.024233083385158546
832,232,0.0243188364647473
402,-198,0.024506799699997465
827,227,0.024922731817636302
358,-242,0.02697024022937353
525,-75,0.027498980695033922
272,-328,0.02860647372257605
866,266,0.02865126834429111
13,-587,0.029652459321268844
826,226,0.029969466716814726
1110,510,0.03157821950708619
273,-327,0.0320515883387262
865,265,0.03217590577145861
833,233,0.03256160452778234
104,-496,0.03271438539775631
354,-246,0.03298142085176813
179,-421,0.033512783500691784
524,-76,0.03401390495091411
274,-326,0.034055492494780834
723,123,0.03500401870440757
523,-77,0.035019372502397395
356,-244,0.03547374996740699
103,-497,0.03565642949806885
825,225,0.03567905744367665
824,224,0.03575245247259512
353,-247,0.035867200270531426
352,-248,0.035868608111932945
864,264,0.03600563525867162
357,-243,0.03622685486864254
355,-245,0.03681826267313466
722,122,0.037380631388978396
522,-78,0.03829510454501549
633,33,0.038730639969101026
823,223,0.038897214644792975
403,-197,0.03959180045014517
351,-249,0.03970593806656885
724,124,0.04081212830822641
834,234,0.04170668538906626
863,263,0.04241380219963926
275,-325,0.04279067497162011
822,222,0.042938982130399754
1109,509,0.04354251469086431
835,235,0.04487474097181991
836,236,0.045647520245658456
350,-250,0.04661360511482097
721,121,0.04661436551086001
837,237,0.0475831937318676
342,-258,0.047846571919060436
984,384,0.04792620500995325
725,125,0.047950576420307735
838,238,0.04827000162765777
521,-79,0.0484651242718253
341,-259,0.0485162919997293
404,-196,0.049286075355759865
839,239,0.04938530186979533
821,221,0.04981272534024585
1142,542,0.05034946770572547
634,34,0.05090866980237655
276,-324,0.051065453145728204
862,262,0.0513166660289967
349,-251,0.051338474054210624
348,-252,0.052837546218121624
340,-260,0.0532859851790448
406,-194,0.0542967024756922
840,240,0.05441525058890594
343,-257,0.05518276561254461
1108,508,0.055204438371422346
720,120,0.0554173237585515
102,-498,0.055515350580833255
841,241,0.05576524654038119
407,-193,0.056261236323508185
408,-192,0.05669096837095683
726,126,0.056830491468063425
842,242,0.05748502478041852
344,-256,0.05756259072700138
347,-253,0.05756513331077237
820,220,0.05929311925239203
277,-323,0.060664643132660054
405,-195,0.06067830491298731
339,-261,0.06117989333390848
409,-191,0.061630381207312804
719,119,0.06193909091278829
84,-516,0.06197578677858006
107,-493,0.0621225923742618
345,-255,0.06298531246095633
843,243,0.06332845456455032
861,261,0.06350311632897988
635,35,0.06356548465354629
346,-254,0.06384534665821655
520,-80,0.06439899616105409
105,-495,0.06485834944224467
178,-422,0.06524756788186077
819,219,0.06549223175829123
727,127,0.06591752258758896
717,117,0.06711300203027352
718,118,0.06745958218831048
716,116,0.06819876355194962
338,-262,0.06943074272009923
853,253,0.06944591449560211
108,-492,0.06970250883649341
106,-494,0.06977146696058223
850,250,0.07004441628295567
1107,507,0.070503488317809
101,-499,0.0714361325263749
410,-190,0.07184463542595104
844,244,0.07198893815037516
715,115,0.07199708923386153
636,36,0.07252186363112702
852,252,0.07262204441251167
728,128,0.07287433611524619
95,-505,0.07321076710175801
851,251,0.0734201506411107
854,254,0.07381969602998303
411,-189,0.07506609468979476
849,249,0.07556017996250229
100,-500,0.07565421800342255
860,260,0.07640871418110765
412,-188,0.07699601057096171
1166,566,0.07725471174154155
278,-322,0.07775460326512475
818,218,0.07819986870655705
337,-263,0.07860474547797638
413,-187,0.07932205848680586
714,114,0.08058632230780272
519,-81,0.08061048452110317
848,248,0.08062028324758042
855,255,0.08161128039023159
845,245,0.08249028330249633
637,37,0.08266909503395878
729,129,0.08302855757184849
94,-506,0.08333433801345827
99,-501,0.08445685521389695
44,-556,0.08518769204419838
985,385,0.08541313782848507
847,247,0.08559424432559347
846,246,0.08568458189152288
1106,506,0.08572699274500678
414,-186,0.08612899599518771
