,Days_Shifted,Correlation_Coefficient
393,-207,-0.12975795201741108
350,-250,-0.12969497385799791
303,-297,-0.12966004489623795
392,-208,-0.12915321058359056
974,374,-0.1290525390373355
326,-274,-0.1289931411023794
385,-215,-0.12791607824057902
391,-209,-0.1277720202271099
345,-255,-0.12752546581051824
1001,401,-0.1270798303055919
343,-257,-0.1270687097182525
351,-249,-0.1264856753304752
198,-402,-0.1264795862104352
587,-13,-0.1263967372158121
241,-359,-0.12551787682842067
352,-248,-0.12491150178416645
349,-251,-0.12476154657976272
929,329,-0.12436764371138101
386,-214,-0.12297978014504447
907,307,-0.12274126364165366
561,-39,-0.12221045923600773
938,338,-0.12213425180106541
550,-50,-0.12096149470800648
908,308,-0.11878372690420691
389,-211,-0.11820835304095992
912,312,-0.11767990621205494
685,85,-0.11727429065420718
1010,410,-0.11726116685847114
675,75,-0.11702233590669782
968,368,-0.115294299613017
394,-206,-0.11520516513767048
167,-433,-0.11497154090083528
469,-131,-0.11385069595172974
150,-450,-0.11331255866061812
342,-258,-0.11298048644679586
765,165,-0.11255901506437115
415,-185,-0.11255327464807757
240,-360,-0.11247708793370102
468,-132,-0.11056777336177571
1013,413,-0.11029833644483265
998,398,-0.11027988682009207
272,-328,-0.1099065064087514
395,-205,-0.10949547152674054
676,76,-0.108412596873199
678,78,-0.10804537126868441
470,-130,-0.10763161866636169
766,166,-0.10759484523283498
271,-329,-0.10638406078444913
341,-259,-0.1063691757404753
1003,403,-0.10405211412841711
339,-261,-0.10381538675210351
1033,433,-0.10360366192016147
265,-335,-0.10265883856729158
384,-216,-0.10256025211049448
474,-126,-0.1023719780174406
549,-51,-0.10195366894591947
527,-73,-0.10192572519500213
679,79,-0.10182963178933274
562,-38,-0.10112768384398339
262,-338,-0.10038909411212688
976,376,-0.10015281783711016
709,109,-0.09931506497255363
161,-439,-0.09912588570870176
619,19,-0.09903680934783457
789,189,-0.09884101641109805
304,-296,-0.09877967313523046
302,-298,-0.09757662670731661
801,201,-0.09736557270471075
333,-267,-0.09736023410964065
931,331,-0.09528269417277228
