,Days_Shifted,Correlation_Coefficient
554,-46,-0.15506171762064913
779,179,-0.1532618580717046
471,-129,-0.15261212072081806
256,-344,-0.15250217621455203
894,294,-0.15242558344857443
477,-123,-0.15075145658451794
246,-354,-0.15047875038498715
796,196,-0.15026303482516712
895,295,-0.14995656382157077
469,-131,-0.1496494602540558
467,-133,-0.14867531895172095
892,292,-0.14813074539431675
699,99,-0.14698163312770438
780,180,-0.14647959830100402
306,-294,-0.14645730375337584
480,-120,-0.1461782834860452
309,-291,-0.14436605627849688
720,120,-0.14423718927704726
369,-231,-0.14345951708694063
533,-67,-0.14048698397581427
719,119,-0.13942603689928584
453,-147,-0.1383318012282965
721,121,-0.138240894077201
303,-297,-0.13813035810636493
479,-121,-0.1373669104430977
532,-68,-0.13709528252300474
462,-138,-0.13670471332090772
576,-24,-0.13651892304203864
468,-132,-0.13616836542074348
478,-122,-0.1357769466199622
209,-391,-0.13462454318169717
255,-345,-0.13379308485031316
305,-295,-0.13331499145687603
764,164,-0.13315563060351002
481,-119,-0.1326167520766088
334,-266,-0.13232280196621235
781,181,-0.13175338014550728
782,182,-0.1295985459890621
534,-66,-0.1279543364960376
459,-141,-0.12773563071090274
304,-296,-0.12713918035469113
693,93,-0.12661954876026837
722,122,-0.12643338890642994
361,-239,-0.1261461662149648
724,124,-0.12543892175133584
460,-140,-0.12477289463079205
461,-139,-0.12390141748565717
535,-65,-0.12378002481391603
763,163,-0.12372360157069048
313,-287,-0.12298832660268479
339,-261,-0.12287001190005739
531,-69,-0.12187702778339304
723,123,-0.12144168927799855
243,-357,-0.12116600194178087
677,77,-0.11927708995080169
678,78,-0.1189183468369209
700,100,-0.11881361195334074
891,291,-0.11605321475147273
458,-142,-0.11565024144105303
454,-146,-0.11563318951771309
806,206,-0.11498797309734601
482,-118,-0.11458930211269275
241,-359,-0.11432803377101089
370,-230,-0.11292127968505826
536,-64,-0.11286231640281087
537,-63,-0.11228538784491769
692,92,-0.1119564263243636
815,215,-0.11175771367089866
544,-56,-0.10984844897595844
314,-286,-0.10981175279252461
452,-148,-0.10960987786344452
679,79,-0.10957720219320743
814,214,-0.10919253591560461
805,205,-0.10753494224476029
577,-23,-0.10654492398525799
718,118,-0.10642651022074756
538,-62,-0.10605097494977511
725,125,-0.10509452658991152
810,210,-0.10493406892868135
455,-145,-0.10414633555911766
333,-267,-0.10392735761619612
804,204,-0.10285879181564873
327,-273,-0.1014307874758146
813,213,-0.10141076991579928
457,-143,-0.1005549362358536
809,209,-0.10050856835768641
816,216,-0.09981202466209274
807,207,-0.09935354553203612
530,-70,-0.09930931235702847
302,-298,-0.09929348428173551
483,-117,-0.09885503293727665
676,76,-0.0985580780538006
275,-325,-0.09831028288859896
371,-229,-0.09707729588309531
310,-290,-0.09628866445051065
808,208,-0.09616431680020153
456,-144,-0.09613119283443265
939,339,-0.0957688174030608
328,-272,-0.09567763940656163
330,-270,-0.09565883901867808
484,-116,-0.09557518193952826
691,91,-0.09533762696569605
291,-309,-0.09521142396653247
797,197,-0.09506677102217631
245,-355,-0.09461588361228855
485,-115,-0.09413458006116106
331,-269,-0.09361110425877535
529,-71,-0.09297030771986467
938,338,-0.09276587987674093
539,-61,-0.09179878161322386
680,80,-0.09117787605400582
215,-385,-0.09113371179824076
486,-114,-0.09107300196627817
812,212,-0.09065374730261437
325,-275,-0.0906371611755368
803,203,-0.0904434550152922
326,-274,-0.09015685990027171
811,211,-0.08728245554585636
527,-73,-0.0867549252338281
578,-22,-0.08620089977200569
583,-17,-0.08499884370356
584,-16,-0.08479405456574106
528,-72,-0.08476424901102392
329,-271,-0.08459517506333258
487,-113,-0.08407095458348605
802,202,-0.0837210913520874
882,282,-0.08348840577624356
701,101,-0.08302552527151205
585,-15,-0.0827436612602848
332,-268,-0.08180112632565822
762,162,-0.081670288881567
311,-289,-0.08103443826530304
675,75,-0.08068257648300513
372,-228,-0.08061694497051163
690,90,-0.08009001039625258
726,126,-0.0794836898502808
950,350,-0.07882631121456986
717,117,-0.07869185992284485
312,-288,-0.07811263551055286
488,-112,-0.07726365535094054
349,-251,-0.07597470827058238
360,-240,-0.07593481942093787
292,-308,-0.07581104823411262
543,-57,-0.07569365707940938
940,340,-0.07557423275910771
715,115,-0.07457611715615745
373,-227,-0.07449981820746024
579,-21,-0.07414064574905825
681,81,-0.07412306365439453
239,-361,-0.07342130424473263
582,-18,-0.07324337880962524
817,217,-0.07202436950284853
244,-356,-0.07194496878422842
540,-60,-0.0711225950949133
315,-285,-0.07092872100107127
936,336,-0.07050613771187425
526,-74,-0.070126535565677
674,74,-0.06899523182082531
580,-20,-0.06879735564234284
716,116,-0.06815344890439068
274,-326,-0.06756491567845334
682,82,-0.06718359946234688
714,114,-0.06683597449146207
937,337,-0.06644255015296098
586,-14,-0.0660403600685599
591,-9,-0.0657135798517873
451,-149,-0.06543293572297798
525,-75,-0.06531267008334862
581,-19,-0.0652851250874673
986,386,-0.06489339881983872
713,113,-0.06457611921502707
801,201,-0.06455122560490424
489,-111,-0.06281552918622904
883,283,-0.06255503030911332
217,-383,-0.062417069863521225
542,-58,-0.06201901048131994
541,-59,-0.06152131859400663
340,-260,-0.06046956128221731
324,-276,-0.06006945427380653
798,198,-0.0596478202920416
946,346,-0.05878693896779477
881,281,-0.05638783668207503
935,335,-0.05571170996934889
712,112,-0.055465639973469844
350,-250,-0.05536999395836222
761,161,-0.054406048571615365
592,-8,-0.05357156891339797
689,89,-0.05330223312447055
524,-76,-0.0518294369830069
727,127,-0.05113268908786446
890,290,-0.05090506958059683
490,-110,-0.04784348078984154
683,83,-0.04781313771822935
587,-13,-0.04619549524270324
523,-77,-0.04499976205580456
886,286,-0.043818076328875945
240,-360,-0.043786522059157874
673,73,-0.043571447919398154
491,-109,-0.0423597542059484
271,-329,-0.04228848640057729
728,128,-0.04210270667144151
351,-249,-0.04152234270015043
711,111,-0.04132602632486824
590,-10,-0.04094422023483543
316,-284,-0.04081165622359002
228,-372,-0.04056574641589424
374,-226,-0.040173147636119524
884,284,-0.03770121576657202
702,102,-0.03735504397630627
880,280,-0.03670518839670646
348,-252,-0.035718008201401356
710,110,-0.03547434275684219
757,157,-0.03516570982491117
887,287,-0.03512465674603438
799,199,-0.034479343530338616
800,200,-0.033904333816404855
960,360,-0.033474596353315775
760,160,-0.03253048077369136
709,109,-0.03165106297389357
947,347,-0.03135223134133376
729,129,-0.031175723522562055
319,-281,-0.029334086086207717
684,84,-0.02885876246915541
588,-12,-0.02741392605298073
927,327,-0.02703184055078003
959,359,-0.02651898708637373
672,72,-0.026351012377192264
879,279,-0.02564129221027066
273,-327,-0.02563877840544908
756,156,-0.02521386350197065
758,158,-0.02499719073417659
708,108,-0.02487405085446184
759,159,-0.024276173745081082
492,-108,-0.023721769629683524
818,218,-0.023372398282322356
885,285,-0.023139990726643498
323,-277,-0.022344305431401364
238,-362,-0.02176050522599564
589,-11,-0.021019669947598338
522,-78,-0.02010579340594934
450,-150,-0.02005085831010903
347,-253,-0.01967074935698554
359,-241,-0.018152022141856378
889,289,-0.017367825143860257
688,88,-0.016329829985133257
293,-307,-0.015919673424712483
341,-259,-0.0147745876837219
706,106,-0.01447451490033168
685,85,-0.014411955019488866
375,-225,-0.014307392255090272
730,130,-0.014196164111536872
671,71,-0.014042082743429923
888,288,-0.013831483264301106
220,-380,-0.013801627998997716
704,104,-0.013650829714862991
755,155,-0.013464778829623549
703,103,-0.013390217014955673
270,-330,-0.013296670503439125
320,-280,-0.012222254986995756
317,-283,-0.011810335449934668
705,105,-0.011767472723209592
707,107,-0.011245610613852947
352,-248,-0.010749650765402177
318,-282,-0.009667036481050287
342,-258,-0.009215597910153884
272,-328,-0.006468540502943753
949,349,-0.006170792187153939
754,154,-0.005307180319214079
980,380,-0.005110916296504657
493,-107,-0.002955051932856502
521,-79,-0.0007198454465856939
346,-254,-0.00042688775789897766
449,-151,0.00026766126100896665
223,-377,0.0009923971681418025
344,-256,0.0015837338944234413
500,-100,0.0025560067345739164
345,-255,0.003775862700347351
501,-99,0.004254983761285591
499,-101,0.004292171429642323
686,86,0.00513399851653765
734,134,0.005559069082904488
301,-299,0.0057138691299330234
670,70,0.006227807769889013
322,-278,0.006994964005954269
733,133,0.007698724559327244
321,-279,0.00785482053473696
593,-7,0.008158202441716228
267,-333,0.008985359497819909
961,361,0.009517300326779785
507,-93,0.009639825285367411
819,219,0.01053286855186269
494,-106,0.01081138165423852
505,-95,0.011472840725198481
269,-331,0.011593390091593582
731,131,0.01181249107787422
687,87,0.011972329945575384
753,153,0.01267072800342122
503,-97,0.013697348944064467
506,-94,0.01379529925026915
969,369,0.0150515045557539
343,-257,0.015549721937328861
951,351,0.015586872494034686
504,-96,0.01580112272322967
496,-104,0.016267899669766536
508,-92,0.01661188577206253
358,-242,0.01721551513744535
495,-105,0.017726209013912267
732,132,0.017812406758967763
958,358,0.018487234095932364
878,278,0.01884446587096909
742,142,0.01945328512311591
502,-98,0.01952028009086455
669,69,0.020162072528614405
227,-373,0.020197408216709466
448,-152,0.020653923109441873
509,-91,0.02127400275907026
242,-358,0.02295252809159598
498,-102,0.02314381835417822
743,143,0.023630072321677673
735,135,0.023777730794395935
386,-214,0.02407871705775538
520,-80,0.02517429834989185
387,-213,0.02654694521463814
497,-103,0.02681342781838279
447,-153,0.0271748690313908
511,-89,0.02781506971853229
268,-332,0.028656311965551188
446,-154,0.02910963222282731
820,220,0.029810088585917632
510,-90,0.02990095836438507
512,-88,0.030884201620939467
741,141,0.03268702817791571
229,-371,0.033574651036820634
445,-155,0.033734040815908875
231,-369,0.033996755776183454
442,-158,0.03473626619518539
668,68,0.03535426109493879
443,-157,0.03816255536364253
948,348,0.03942131911099938
519,-81,0.040025492315554266
444,-156,0.04088516979109511
513,-87,0.04112559849425567
357,-243,0.04171555486121695
821,221,0.043277516680462584
376,-224,0.04367728950963071
744,144,0.044332543208388774
385,-215,0.04435110458403032
353,-247,0.045035549815152794
748,148,0.04530168345682707
652,52,0.0474022614485743
653,53,0.04754323669794265
441,-159,0.048028853331640725
594,-6,0.04808775746658285
294,-306,0.04816145479395952
654,54,0.05051000585972654
745,145,0.05083188846459792
739,139,0.051874359085611825
518,-82,0.05256488072536439
752,152,0.055428821414414554
